nombre_entidad,nit_entidad,anno_paa,ppto_total,limite_menor_cuantia,limite_minima_cuantia,fecha_cargue,departamento_paa,municipio_paa
NARIÑO  INSTITUCIN EDUCATIVA PIZANDA  CUMBITARA,900479556-4,2022,78874228.0,850000000.0,85000000.0,2022-01-29,Nariño,Cumbitara
NARIÑO  PERSONERA MUNICIPIO DE LEIVA,814002643,2021,1730000000.0,22713150000.0,2271315000.0,2021-01-30,Nariño,Leiva
CALDAS  INSTITUCIN EDUCATIVA SAN LORENZO  RIOSUCIO,810001723-1-9,2021,92550000.0,254387280.0,25438728.0,2021-01-28,Caldas,Riosucio
CAQUET  ALCALDA MUNICIPIO DE EL DONCELLO,800095760,2023,32674215252.0,324800000.0,32480000.0,2023-08-15,Caquetá,El Doncello
  ANTIOQUIA  ALCALDA MUNICIPIO DE TMESIS  ,800102801-3-9,2021,10934214405.0,254387280.0,25438728.0,2021-06-26,Antioquia,Támesis
HUILA  ESE HOSPITAL MUNICIPAL SAN ANTONIO DE AGRADO,891180147,2022,1980323037.0,360000000.0,40000000.0,2022-01-27,Huila,Agrado
CUNDINAMARCA  IED INTEGRADA DE CABRERA,890680129,2021,123326670.0,284194400.0,28419440.0,2021-01-29,Cundinamarca,Cabrera
BOGOT DC  IED CIUDAD DE MONTREAL,No Definido-4,2021,146596059.0,125560600.0,25438728.0,2021-06-29,Bogotá D.C.,Bogotá D.C.
TOLIMA  INSTITUCIN EDUCATIVA TCNICA ARTURO MEJIA JARAMILLO  LRIDA,890706353-3,2021,124325765.0,254387280.0,25438728.0,2021-09-27,Tolima,Lérida
CUNDINAMARCA  INSTITUCIN EDUCATIVA MUNICIPAL CARLOS LOZANO Y LOZANO  FUSAGASUGA,890680054,2021,55069878565.0,408836700.0,40833670.0,2021-12-20,Cundinamarca,Fusagasugá
NORTE DE SANTANDER  ALCALDA MUNICIPIO DE PUERTO SANTANDER,800250853-1-8,2021,14565646610.0,254387280.0,25438728.0,2021-01-29,Norte De Santander,Puerto Santander
NARIÑO  ALCALDA MUNICIPIO DE ALDANA,891901079-0-5,2021,2241282153.0,280000000.0,28000000.0,2022-01-31,Nariño,Aldana
BOLVAR  AGUAS DE BOLVAR SA ESP  CARTAGENA,900263608-1,2022,148139261691.0,408836700.0,40883670.0,2022-01-31,Bolívar,Cartagena
TOLIMA  INSTITUCIN EDUCATIVA TCNICA PANAMERICANA,809011409,2022,3220000000.0,28000000000.0,2800000000.0,2022-01-27,Tolima,Icononzo
  SUCRE  A}GUAS DE SUCRE SA ESP  ,900258919-4,2023,3113000000.0,1000000000.0,100000000.0,2023-01-30,Sucre,Sincelejo
META  INSTITUCIN EDUCATIVA ISABEL LA CATLICA  SAN CARLOS DE GUAROA,822006499,2022,0.0,0.0,0.0,2022-05-15,Meta,San Carlos de Guaroa
ANTIOQUIA  CONCEJO MUNICIPIO DE TMESIS,890.981.238-3-4,2023,21300000.0,324800000.0,32480000.0,2023-01-31,Antioquia,Támesis
SANTANDER  ALCALDA MUNICIPIO DE EL PLAYN,No Definido,2023,5572694920.0,324800000.0,32480000.0,2023-01-30,Santander,El Playón
RISARAL\DA  INSTITUCIN EDUCATIVA MATECAÑA  PEREIRA,816003396-9,2022,51878366.0,20000000.0,28000000.0,2022-01-26,Risaralda,Pereira
TOLIMA  INSTITUCIN EDUCATIVA SANTA TERESA  LBANO,800200115-8,2022,4651889872.0,280000000.0,28000000.0,2022-01-31,Tolima,El Líbano
LA GUAJIRA  INSTITUCIN EDUCATIVA TCNICA RURAL AGROPECUARIA DE MINGUEO  DIBULLA,800070519,2022,626566871.0,280000000.0,28000000.0,2022-09-02,La Guajira,Dibulla
  ATLNTICO  INSTITUCIN EDUCATIVA DISTRITAL COMUNITARIA METROPOLITANA  BARRANQUILLA  ,802007478-2,2022,86894599.0,0.0,20000000.0,2022-02-01,Atlántico,Barranquilla
TOLIMA  INSTITUCIN EDUCATIVA LEONIDAS RUBIO VILLEGAS,890703970,2022,286866853.0,280000000.0,28000000.0,2022-02-01,Tolima,Ibagué
CUNDINAMARCA  ALCALDA MUNICIPIO DE GUACHET,899999362,2021,845881303369.0,25438728.0,254387280.0,2021-12-31,Cundinamarca,Guachetá
BOYAC  CONCEJO MUNICIPIO DE SOMONDOCO,800029826-5-8,2022,36090609.0,280000000.0,28000000.0,2022-01-20,Boyacá,Somondoco
QUINDO . ALCALDA MUNICIPIO DE PIJAO,891500856-6-6,2022,3415841105.0,280000000.0,28000000.0,2022-01-31,Quindío,Pijao
CHOC  AGUAS DEL CHOC SA ESP,900354051-0,2022,8718961786.0,280000000.0,28000000.0,2022-07-27,Chocó,Quibdó
ATLNTICO  INSTITUCIN EDUCATIVA DISTRITAL NUESTRA SEÑORA DEL ROSARIO  BARRANQUILLA,802007817,2022,56565000.0,280000000.0,28000000.0,2022-01-27,Atlántico,Barranquilla
ARAUCA  CONCEJO MUNICIPAL DE SARAVENA,800102799-7,2023,110000000.0,324800000.0,32480000.0,2023-01-27,Arauca,Saravena
CALDAS  INSTITUCIN EDUCATIVA EL TREBOL  CHINCHINA,800125932,2021,53000000.0,254387280.0,25438728.0,2021-01-28,Caldas,Chinchiná
ANTIOQUIA  EMPRESA DE VIVIENDA DE ANTIOQUIA  VIVA,811032187-7,2021,16828856157256.0,590541900.0,59054190.0,2021-01-29,Antioquia,Medellín
CRDOBA  AGUAS DE CRDOBA SA ESP,900229952,2021,365279201951.0,245785840.0,24578584.0,2021-09-30,Córdoba,Montería
CESAR  PERSONERA MUNICIPIO DE RIO DE ORO,824002456-0,2023,5420000.0,324800000.0,32480000.0,2023-01-30,Cesar,Río de Oro
QUINDO  PERSONERA MUNICIPIO DE PIJAO,890001181-9,2022,22440000.0,280000000.0,2800000.0,2022-02-05,Quindío,Pijao
SANTANDER  ESE HOSPITAL SAN PEDRO CLAVER  MOGOTES,890204659-6,2022,0.0,0.0,0.0,2022-01-26,Santander,Mogotes
CRDOBA  ESE CENTRO DE SALUD COTORRA,812003726-1,2021,4207544470.0,254387280.0,25438728.0,2021-12-29,Córdoba,Cotorra
HUILA  INSTITUCIN EDUCATIVA EL DESCANSO  GARZN,813005694-3,2022,31928143.0,280000000.0,28000000.0,2022-01-31,Huila,Garzón
CHOC  ALCALDA MUNICIPIO DE UNGUA,891680196,2023,33106950064.0,324800000.0,32480000.0,2023-01-31,Chocó,Unguía
  TOLIMA  INSTITUCIN EDUCATIVA TCNICA BOLVAR  SANTA ISABEL  ,890702057-3,2023,55792487.0,32480000.0,32480000.0,2023-01-31,Tolima,Santa Isabel
CALDAS  CENTRO EDUCATIVO GRANADA  MANIZALES,810002767-8,2022,289002110.0,28000000.0,20000000.0,2022-01-31,Caldas,Manizales
 | META  CONCEJO MUNICIPAL PUERTO CONCORDIA  ,822001222-5,2023,26960000.0,324800000.0,32480000.0,2023-01-31,Meta,Puerto Concordia
L=A GUAJIRA  ALCALDA MUNICIPIO DE MAICAO,892120020,2023,151332164139.0,754000000.0,75400000.0,2023-09-22,La Guajira,Maicao
VALLE DEL CAUCA  INSTITUCIN EDUCATIVA MARA AUXILIADORA  CARTAGO,891901020-7,2021,63674650.0,254387280.0,25438728.0,2021-01-21,Valle del Cauca,La Cumbre
ATLNTICO  INSTITUCIN EDUCATIVA INOBASOL DE SOLEDAD,890103008,2022,189005000.0,245784560.0,24578456.0,2022-02-18,Atlántico,Soledad
AMAZONAS  ESCUELA NORMAL SUPERIOR MONSEÑOR MARCELIANO EDUARDO CANYES DE LETICIA,838000047,2023,421531700.0,32480000.0,23200000.0,2023-01-30,Amazonas,Leticia
TOLIMA  INSTITUCIN EDUCATIVA LAS MERCEDES CAPI!LLA  GUAMO,809006164,2023,20100000.0,324800000.0,32480000.0,2023-01-31,Tolima,El Guamo
"ANTIOQUIA  PERSONERA MUNICIPIO DE BURITI""CA",890983808-0,2023,2419320000.0,25438728000.0,2543872800.0,2023-02-07,Antioquia,Buriticá
  BOYAC  PERSONERA MUNICIPAL DE SANTA ROSA D&E VITERBO  ,800039213-3,2021,0.0,254387280.0,25438728.0,2021-01-30,Boyacá,Santa Rosa de Viterbo
NARIÑO  INSTITUCION EDUCATIVA INDIGENA AGROAMBIENTAL MAYKER  CUMBAL,900422215,2022,20950000.0,850000000.0,85000000.0,2022-01-31,Nariño,Cumbal
SAN ANDRS PROVIDENCIA Y SANTA CATALINA  PERSONERA MUNICIPIO DE PROVIDENCIA ISLA,800103021-1-7,2022,18997827.0,0.0,2800000000.0,2022-02-08,San Andrés Providencia y Santa Catalina,Providencia
SANTANDER  CONCEJO MUNICIPIO DE SOCORRO,890203688-8,2023,132172765.0,324800000.0,32480000.0,2023-01-10,Santander,Socorro
CUNDINAMARCA  INSTITUCIN EDUCATIVA RURAL DEPARTAMENTAL JOS GREGORIO SALAS  GUATAVITA,900016842,2021,65453225.0,254387280.0,25438728.0,2021-02-01,Cundinamarca,Guatavita
NARIÑO  ALCALDA MUNICIPIO DE FRANCISCO PIZARRO,800099085,2021,2576827000.0,245784840.0,24578484.0,2022-01-03,Nariño,Francisco Pizarro
SANTANDER  ALCALDA MUNICIPIO DE PU#ERTO ILCHES,No Definido-5,2022,53465303934.0,280000000.0,32480000.0,2023-02-14,Santander,Puerto Wilches
  VALLE DEL CAUCA  INSTITUTO MUNICIPAL DE CULTURA Y TURISMO (DE PRADERA  ,900005734,2021,603480000.0,254387280.0,25438728.0,2022-01-12,Valle del Cauca,Pradera
  BOLVAR  ALCALDA MUNICI=PIO DE TIQUISIO  ,800255213,2022,11055733585.0,280000000.0,28000000.0,2022-01-28,Bolívar,Tiquisio
  NARIÑO  CONCEJO MUNICIPIO DE PROVIDENCIA  ,814000499,2022,268080060.0,0.0,28000000.0,2022-01-31,Nariño,Providencia
ANTIOQUIA  IE MATER DEI  MEDELLN,811039065,2021,71184728.0,18170520.0,25438728.0,2021-08-02,Antioquia,Medellín
BOYAC  INSTITUCIN EDUCATIVA HORIZONTES,891801221,2022,50000000.0,254387280.0,25438728.0,2022-03-10,Boyacá,San José de Pare
CHOC  ALCALDA MUNICIPIO DE EL CANTN DE SAN PABLO,800239414-7,2022,46714208.0,280000000.0,28000000.0,2022-01-17,Chocó,El Cantón del San Pablo
NARIÑO  INSTITUCION EDUCATIVA NUESTRA SEÑORA DE BELN,91.20284 ¿ 9-5,2021,386555570.0,254387280.0,25438728.0,2021-01-23,Nariño,Belén
HUILA  INSTITUCIN EDUCATIVA LUIS CALIXTO LEIVA  GARZN,813004410,2022,147656200.0,254387280.0,25438728.0,2022-01-12,Huila,Garzón
NARIÑO  ESE HERMES ANDRADE MEJA  TANGUA,900125582,2021,1903031599.0,117186300.0,39062100.0,2021-12-30,Nariño,Tangua
TOLIMA  PERSONERA MUNICIPIO DE NATAGAIMA,809004988-7,2023,136278900.0,280000000.0,28000000.0,2023-01-30,Tolima,Natagaima
RISARALDA  INSTITUCIN EDUCATIVA FRANCISCO DE PAULA SANTANDER  PEREIRA,816001860,2021,55685000.0,18170520.0,18170520.0,2021-01-12,Risaralda,Pereira
BOLVAR  INSTITUCIN EDUCATIVA TCNICA AGROPESQUERA MANUEL PADILLA POLO DE ROBLES  GUAMO,806013198,2022,78623733.0,254387280.0,25438728.0,2022-03-17,Bolívar,El Guamo
  HUILA  ESE MUNICIPAL MANUEL CASTRO TOVAR  PITALITO  ,813005295,2021,15692720604.0,272557800.0,18170520.0,2021-08-04,Huila,Pitalito
BOYAC  ESE CENTRO DE SALUD SAN RAFAEL  RONDN,820003444-7,2021,133900000.0,254387280.0,25438728.0,2021-01-27,Boyacá,Rondón
VICHADA  CONCEJO MUNICIPIO DE PUERTO CARREÑO,892099305-3,2022,99196132.0,254387280.0,25438728.0,2022-06-30,Vichada,Puerto Carreño
BOLVAR  ALCALDA MUNICIPIO DE SAN ESTANISLAO,891801282-0-9,2023,28315195452.0,324800000.0,32480000.0,2023-01-30,Bolívar,San Estanislao de Kostka
VALLE DEL CAUCA  INSTITUTO MUNICIPAL DE DEPORTE Y RECREACIN DE CAICEDONIA VALLE DEL CAUCA  IMDERCAI,891903051-1,2022,162680377.0,244756126.0,28000000.0,2022-01-28,Valle del Cauca,Caicedonia
